1988
----
Altered Beast (Juuouki)				pre-SMPS Z80/Type 1
Osomatsu-kun					pre-SMPS Z80/Type 2 [sound RAM at 1D00]
Space Harrier II				pre-SMPS Z80/Type 1 [sound RAM at 1800]
Super Thunder Blade				pre-SMPS Z80/Type 1 (mod) [sound RAM at 1E00]

1989
----
Alex Kidd in the Enchanted Castle		pre-SMPS Z80/Type 1 [sound RAM at 1D00]
Arnold Palmer Tournament Golf (Super Masters)	early SMPS Z80
Forgotten Worlds				pre-SMPS Z80/Type 2
Ghouls 'n Ghosts (Dai Makaimura)		pre-SMPS Z80/Type 2
Golden Axe					early SMPS Z80
Last Battle (Hokuto no Ken)			pre-SMPS 68k/FM
Mahjong Cop Ryuu				pre-SMPS 68k/FM
Mystic Defender (Kujaku Ou II)			SMPS Z80/Type 1 FM (early/mod)
Phantasy Star II				pre-SMPS 68k/Type 1 (pre-SMPS Z80 port)
Rambo III					pre-SMPS Z80/Type 2
Super Daisenryaku				pre-SMPS 68k/PCM
The Revenge of Shinobi (The Super Shinobi)	pre-SMPS/Mucom 68k
Super Hang-On					pre-SMPS Z80/Type 2
Sword of Vermilion (Vermilion)			pre-SMPS 68k/PCM
Tetris						pre-SMPS Z80/Type 2
Tommy Lasorda Baseball (Super League)		pre-SMPS 68k/Type 1 (pre-SMPS Z80 port)
World Championship Soccer (World Cup Soccer)	pre-SMPS 68k/PCM

1990
----
Arrow Flash					SMPS Z80/Type 1 FM
Atomic Robo-Kid					pre-SMPS Z80/Type 2
Castle of Illusion				SMPS Z80/Type 1 FM (mod)
Columns						SMPS Z80/Type 1 FM (mod)
Cyberball					SMPS Z80 FM
Dangerous Seed					SMPS Z80/Type 1 FM
Darwin 4081					pre-SMPS Z80/Type 2 (banked)
Dick Tracy					SMPS Z80/Type 1 FM (mod)
DJ Boy						SMPS Z80/Type 1 FM
Dynamite Duke					SMPS Z80/Type 1 FM
ESWAT Cyber Police				SMPS Z80/Type 1 FM
Ghostbusters					SMPS Z80/Type 1 FM (early/mod)
Magical Hat no Buttobi Turbo! Daibouken		SMPS Z80/Type 1 FM
Mega Anser					SMPS Z80/Type 1 FM (early)
Michael Jackson's Moonwalker			SMPS 68k/Type 1a
Pat Riley Basketball (Super Real Basketball)	SMPS Z80/Type 1 FM
Phantasy Star III: Generations of Doom		SMPS Z80/Type 1 FM
Rastan Saga II					SMPS Z80 FM
Shadow Dancer: The Secret of Shinobi		SMPS 68k/Type 1a
Sorcerian					SMPS Z80/Type 1 FM (banked)
Street Fighter II' Turbo (beta)			pre-SMPS 68k/PCM
Strider (Strider Hiryuu)			SMPS 68k/Type 1a (mod, custom sequence format)
Super Monaco GP					SMPS Z80/Type 1 FM (mod)
Whip Rush					SMPS Z80/Type 1 FM
Wonder Boy III: Monster Lair			SMPS Z80/Type 1 FM
Zoom!						pre-SMPS Z80/Type 2

1991
----
Advanced Daisenryaku				SMPS Z80 FM
Air Buster (Aero Blasters)			SMPS Z80 FM
Alien Storm					SMPS Z80/Type 1 DAC
Bahamut Senki					SMPS Z80 FM
Battle Golfer Yui				SMPS 68k/Type 1a
Bonanza Brothers				SMPS Z80/Type 1 FM
Dahna: Megami Tanjou				SMPS Z80/Type 1 DAC
Dragon's Eye Plus: Shanghai 3			SMPS 68k/Type 1b
F1 Circus MD					SMPS Z80/Type 1 DAC
Fatal Labyrinth					SMPS Z80/Type 1 FM (mod)
Fighting Masters				SMPS Z80/Type 1 FM
